transaction_id,account_id,amount,currency,merchant_id,merchant_category,timestamp,location,channel,ip_address,device_fingerprint,recipient_account,transaction_type
TXN-2026-0001,ACCT-8821,42.50,USD,MERCH-COFFEE-01,food_and_drink,2026-02-08T09:15:00Z,New York US,pos,,DEV-KNOWN-A1B2C3,,purchase
TXN-2026-0002,ACCT-3310,15750.00,USD,,,2026-02-08T09:17:30Z,Foreign - Lagos NG,online,102.89.45.12,NEW_DEV-X9F3K2,MULE-ACCT-7799,transfer
TXN-2026-0003,ACCT-5567,9400.00,USD,,,2026-02-08T09:22:00Z,Miami US,atm,,DEV-KNOWN-D4E5F6,,deposit
TXN-2026-0004,ACCT-1122,890.00,USD,MERCH-ELECTRONICS-99,electronics,2026-02-08T09:25:45Z,Chicago US,online,73.162.45.201,NEW_DEV-Q7W8E9,,purchase
TXN-2026-0005,ACCT-8821,3200.00,USD,MERCH-JEWELRY-05,luxury_goods,2026-02-08T09:30:00Z,New York US,pos,,DEV-KNOWN-A1B2C3,,purchase
TXN-2026-0006,ACCT-4490,9950.00,USD,,,2026-02-08T09:35:10Z,Houston US,online,68.42.100.7,DEV-KNOWN-G7H8I9,,deposit
TXN-2026-0007,ACCT-4490,9800.00,USD,,,2026-02-08T10:05:10Z,Houston US,online,68.42.100.7,DEV-KNOWN-G7H8I9,,deposit
TXN-2026-0008,ACCT-6601,22000.00,USD,,,2026-02-08T10:12:00Z,Foreign - Cayman Islands KY,online,185.220.101.45,NEW_DEV-Z1Y2X3,SHELL-ACCT-0055,transfer
TXN-2026-0009,ACCT-2233,18.75,USD,MERCH-GROCERY-12,groceries,2026-02-08T10:20:00Z,Denver US,pos,,DEV-KNOWN-J0K1L2,,purchase
TXN-2026-0010,ACCT-7788,4500.00,USD,,,2026-02-08T10:28:00Z,Foreign - Dubai AE,online,94.56.78.123,NEW_DEV-M3N4O5,ACCT-OFFSHORE-9911,transfer
